Item.[Sports Planning Level],Actual Cleansed
Nike_Other_WOMENS_APPAREL DIVISION_Womens Sport_Baseball/Softball Mens & Womens,5.00000005
Nike_Other_WOMENS_APPAREL DIVISION_Womens Sport_Basketball Mens & Womens,266120.6315317153
Nike_Other_WOMENS_APPAREL DIVISION_Womens Sport_Global Football Mens & Womens,5177361.309928231
Nike_Other_WOMENS_APPAREL DIVISION_Womens Sport_Golf Mens & Womens,228367.9711830435
Nike_Other_WOMENS_APPAREL DIVISION_Womens Sport_Nike_Other,11.000000029999999
Nike_Other_WOMENS_APPAREL DIVISION_Womens Sport_Running Mens & Womens,7.00000003
Nike_Other_WOMENS_APPAREL DIVISION_Womens Sport_Tennis,1199634.556696953
Nike_Other_WOMENS_EQUIPMENT DIVISION_No Fields of Play_Global Football Mens & Womens,29.00000009
Nike_Other_WOMENS_EQUIPMENT DIVISION_No Fields of Play_Nike_Other,136.0000015
Nike_Other_WOMENS_EQUIPMENT DIVISION_Womens Holistic Fitness_Running Mens & Womens,1388.00002377
Nike_Other_WOMENS_EQUIPMENT DIVISION_Womens Holistic Fitness_Training Mens & Womens,3392944.4828070705
Nike_Other_WOMENS_EQUIPMENT DIVISION_Womens Lifestyle_All Other Sports Mens & Womens,583.0000022799998
Nike_Other_WOMENS_EQUIPMENT DIVISION_Womens Lifestyle_Nike Sportswear Mens & Womens,1623755.1497530688
Nike_Other_WOMENS_EQUIPMENT DIVISION_Womens Lifestyle_Nike_Other,6.260000033
Nike_Other_WOMENS_EQUIPMENT DIVISION_Womens Running_All Other Sports Mens & Womens,840.5900011479999
Nike_Other_WOMENS_EQUIPMENT DIVISION_Womens Running_Nike_Other,108.000001
Nike_Other_WOMENS_EQUIPMENT DIVISION_Womens Running_Running Mens & Womens,56387.460393613
Nike_Other_WOMENS_EQUIPMENT DIVISION_Womens Sport_Basketball Mens & Womens,1030.62000527
Nike_Other_WOMENS_EQUIPMENT DIVISION_Womens Sport_Global Football Mens & Womens,42048.85020553469
Nike_Other_WOMENS_EQUIPMENT DIVISION_Womens Sport_Golf Mens & Womens,6858.560027923001
Nike_Other_WOMENS_EQUIPMENT DIVISION_Womens Sport_Tennis,4.0
Nike_Other_WOMENS_FOOTWEAR DIVISION_No Fields of Play_All Other Sports Mens & Womens,460074.00271
Nike_Other_WOMENS_FOOTWEAR DIVISION_Womens Holistic Fitness_Running Mens & Womens,30.000000209999996
Nike_Other_WOMENS_FOOTWEAR DIVISION_Womens Holistic Fitness_Training Mens & Womens,6118460.529866438
Nike_Other_WOMENS_FOOTWEAR DIVISION_Womens Lifestyle_Nike SB Mens & Womens,216713.6616803866
Nike_Other_WOMENS_FOOTWEAR DIVISION_Womens Lifestyle_Nike Sportswear Mens & Womens,69105324.34326963
Nike_Other_WOMENS_FOOTWEAR DIVISION_Womens Lifestyle_Nike_Other,642732.9648512712
Nike_Other_WOMENS_FOOTWEAR DIVISION_Womens Running_Running Mens & Womens,14973537.5217689
Nike_Other_WOMENS_FOOTWEAR DIVISION_Womens Sport_All Other Sports Mens & Womens,2831.2800097299996
Nike_Other_WOMENS_FOOTWEAR DIVISION_Womens Sport_Baseball/Softball Mens & Womens,3.0
Nike_Other_WOMENS_FOOTWEAR DIVISION_Womens Sport_Basketball Mens & Womens,166016.671053593
Nike_Other_WOMENS_FOOTWEAR DIVISION_Womens Sport_Global Football Mens & Womens,274760.70144127036
Nike_Other_WOMENS_FOOTWEAR DIVISION_Womens Sport_Golf Mens & Womens,24458.110104299398
Nike_Other_WOMENS_FOOTWEAR DIVISION_Womens Sport_Nike_Other,30.230000105
Nike_Other_WOMENS_FOOTWEAR DIVISION_Womens Sport_Tennis,574110.6431909685
Nike_SKIMS_WOMENS_APPAREL DIVISION_Womens Holistic Fitness_Basketball Mens & Womens,416.740003149
Nike_SKIMS_WOMENS_APPAREL DIVISION_Womens Holistic Fitness_Running Mens & Womens,3.00000003
Nike_SKIMS_WOMENS_APPAREL DIVISION_Womens Holistic Fitness_Training Mens & Womens,37302549.564234644
