Item Planning Level,Actuals
Nike_Other_MENS_EQUIPMENT DIVISION_Mens Lifestyle_Nike SB Mens & Womens,12489.000120070004
Nike_ACG_MENS_EQUIPMENT DIVISION_Mens Lifestyle_ACG Mens & Womens,11304.00008812
Nike_Other_MENS_EQUIPMENT DIVISION_No Fields of Play_Nike Sportswear Mens & Womens,10774.00008543
Jordan_Other_WOMENS_APPAREL DIVISION_Jordan Sport_Jordan_Other,9452.00002504
Nike_Other_MENS_FOOTWEAR DIVISION_Mens Basketball_Nike Sportswear Mens & Womens,9041.00001258
Jordan_Other_WOMENS_APPAREL DIVISION_Jordan Streetwear_Jordan Global Football,8546.00004804
Nike_Other_KIDS_APPAREL DIVISION_Kids Lifestyle_Nike SB Kids,8263.00006188
Nike_Other_WOMENS_FOOTWEAR DIVISION_Womens Sport_Basketball Mens & Womens,8009.00003447
Nike_Other_WOMENS_FOOTWEAR DIVISION_Womens Sport_Global Football Mens & Womens,7913.000045960001
Jordan_Other_WOMENS_FOOTWEAR DIVISION_Jordan Sport_Jordan Basketball,7465.000035569999
Nike_ACG_KIDS_FOOTWEAR DIVISION_Kids Lifestyle_Running Kids,6391.000050229999
Jordan_Other_MENS_APPAREL DIVISION_Jordan Sport_Jordan_Other,5312.000022109999
Nike_Other_KIDS_APPAREL DIVISION_No Fields of Play_Tennis Kids,3966.0000142700014
Nike_Other_KIDS_APPAREL DIVISION_No Fields of Play_Golf Kids,3734.00001389
Nike_Other_MENS_FOOTWEAR DIVISION_Mens Football_Nike Sportswear Mens & Womens,3037.00001921
Nike_Other_WOMENS_APPAREL DIVISION_No Fields of Play_All Other Sports Mens & Womens,2195.0000090300005
Jordan_Other_MENS_FOOTWEAR DIVISION_Jordan Streetwear_Jordan Global Football,2193.0000119500005
Nike_Other_MENS_FOOTWEAR DIVISION_Mens Football_Nike_Other,2100.00001389
Nike_Other_MENS_EQUIPMENT DIVISION_Mens Sport_Golf Mens & Womens,1853.00000739
Nike_Other_MENS_EQUIPMENT DIVISION_Mens Sport_Tennis,1535.00001413
Jordan_Other_WOMENS_FOOTWEAR DIVISION_Jordan Sport_Jordan_Other,1456.0000054800005
Nike_Other_WOMENS_APPAREL DIVISION_Womens Lifestyle_Basketball Mens & Womens,1418.00000048
Jordan_Other_WOMENS_APPAREL DIVISION_Jordan Streetwear_Jordan_Other,1358.0000081300002
Nike_Other_MENS_EQUIPMENT DIVISION_Mens Lifestyle_Training Mens & Womens,1225.00000794
Nike_Other_MENS_APPAREL DIVISION_Mens Sport_American Football Mens & Womens,1212.0000089899997
Nike_KOBE_MENS_FOOTWEAR DIVISION_Mens Basketball_Basketball Mens & Womens,1133.00000776
Jordan_Other_MENS_EQUIPMENT DIVISION_Jordan Sport_Jordan_Other,907.0000040599996
