Forecast Iteration.[Forecast Iteration],Version.[Version Name],Time.[Partial Week],Stat Bucket Weight,Stat Bucket Weight AUR,Stat Bucket Weight AUR Fcst
FI-Default,CurrentWorkingView,01-Jul-18,0.22580645161290322,0.2,1
FI-Default,CurrentWorkingView,08-Jul-18,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,15-Jul-18,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,22-Jul-18,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,29-Jul-18,0.0967741935483871,0,0
FI-Default,CurrentWorkingView,01-Aug-18,0.12903225806451613,0.2,1
FI-Default,CurrentWorkingView,05-Aug-18,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,12-Aug-18,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,19-Aug-18,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,26-Aug-18,0.1935483870967742,0,0
FI-Default,CurrentWorkingView,01-Sep-18,0.03333333333333333,0.16666666666666666,1
FI-Default,CurrentWorkingView,02-Sep-18,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,09-Sep-18,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,16-Sep-18,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,23-Sep-18,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,30-Sep-18,0.03333333333333333,0,0
FI-Default,CurrentWorkingView,01-Oct-18,0.1935483870967742,0.2,1
FI-Default,CurrentWorkingView,07-Oct-18,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,14-Oct-18,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,21-Oct-18,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,28-Oct-18,0.12903225806451613,0,0
FI-Default,CurrentWorkingView,01-Nov-18,0.1,0.2,1
FI-Default,CurrentWorkingView,04-Nov-18,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,11-Nov-18,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,18-Nov-18,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,25-Nov-18,0.2,0,0
FI-Default,CurrentWorkingView,01-Dec-18,0.03225806451612903,0.16666666666666666,1
FI-Default,CurrentWorkingView,02-Dec-18,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,09-Dec-18,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,16-Dec-18,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,23-Dec-18,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,30-Dec-18,0.06451612903225806,0,0
FI-Default,CurrentWorkingView,01-Jan-19,0.16129032258064516,0.2,1
FI-Default,CurrentWorkingView,06-Jan-19,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,13-Jan-19,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,20-Jan-19,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,27-Jan-19,0.16129032258064516,0,0
FI-Default,CurrentWorkingView,01-Feb-19,0.07142857142857142,0.2,1
FI-Default,CurrentWorkingView,03-Feb-19,0.25,0,0
FI-Default,CurrentWorkingView,10-Feb-19,0.25,0,0
FI-Default,CurrentWorkingView,17-Feb-19,0.25,0,0
FI-Default,CurrentWorkingView,24-Feb-19,0.17857142857142858,0,0
FI-Default,CurrentWorkingView,01-Mar-19,0.06451612903225806,0.16666666666666666,1
FI-Default,CurrentWorkingView,03-Mar-19,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,10-Mar-19,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,17-Mar-19,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,24-Mar-19,0.22580645161290322,0,0
FI-Default,CurrentWorkingView,31-Mar-19,0.03225806451612903,0,0
FI-Default,CurrentWorkingView,01-Apr-19,0.2,0.2,1
FI-Default,CurrentWorkingView,07-Apr-19,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,14-Apr-19,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,21-Apr-19,0.23333333333333334,0,0
FI-Default,CurrentWorkingView,28-Apr-19,0.1,0,0
FI-Default,CurrentWorkingView,01-May-19,0.12903225806451613,0.2,1
FI-Default,CurrentWorkingView,05-May-19,0.22580645161290322,0,0
